job,website,company,salary
.NET程序员【坐标郑州】,http://company.zhaopin.com/CC319483532.htm,河南奇酷信息技术有限公司,8001-10000
php开发工程师_php程序员,http://company.zhaopin.com/CZ672164080.htm,上海泉聂智能科技有限公司,8001-10000
开发工程师/程序员/研发工程师/后端开发,http://company.zhaopin.com/CZ692700880.htm,上海善诺信息科技有限公司,16000-20500
php程序员,http://company.zhaopin.com/CZ466357180.htm,上海登凯贸易有限公司,7000-14000
前端开发/java架构师/技术总监/程序员,http://company.zhaopin.com/CZ896567030.htm,上海踔善网络科技有限公司,15500-21000
软件研发/JavaScript/程序员/开发顾问,http://company.zhaopin.com/CZ694692330.htm,上海法合网络科技有限公司,15500-20500
"php工程师/php程序员/php&nbsp;<a href=""http://e.zhaopin.com/products/1/detail.do"" target=""_blank"" title=""点击“顶”字，了解更多""><img src=""/assets/images/top.png"" border=""0""   align=""absmiddle"">&nbsp;<img src=""/assets/images/jp.gif"" border=""0"" align=""absmiddle"">",http://company.zhaopin.com/CZ735252640.htm,皇室科技有限公司,15000-25000
软件工程师助理 （程序员）,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E6%83%9F%E5%B8%B8%E7%94%B5%E5%AD%90%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC287864213.htm,上海惟常电子科技有限公司,6001-8000
php程序员,http://company.zhaopin.com/CZ419257080.htm,钰真(上海)信息技术有限公司,10001-15000
程序员,http://company.zhaopin.com/CZ400252180.htm,上海沃旺商务咨询管理有限公司,10001-15000
ASP.net程序员（实习生）,http://company.zhaopin.com/CZ714068380.htm,上海煜喜环保科技有限公司,6001-8000
PHP程序员/PHP开发/PHP工程师,http://company.zhaopin.com/CZ438293380.htm,上海贝瓦商务咨询有限公司,15001-20000
php程序员（高级工程师）,http://company.zhaopin.com/CC296397485.htm,上海建营网络科技有限公司,15000-30000
程序员,http://company.zhaopin.com/CC369799834.htm,湖州德诺口腔门诊部有限公司,4001-6000
ASP.NET程序员,http://company.zhaopin.com/P3/CC1564/2712/CC156427120.htm,上海潍可昕信息技术有限公司,6000-12000
程序员  软件开发工程师,http://company.zhaopin.com/CZ328788180.htm,上海银司控股股份有限公司,10000-20000
诚招软件测试程序员/五险一金/提成/包食宿,http://company.zhaopin.com/CZ515357130.htm,广州海度网络科技有限公司,3000-5000
Java程序员助理+周末双休,http://company.zhaopin.com/CZ515357130.htm,广州海度网络科技有限公司,4001-6000
初级PHP程序员,http://company.zhaopin.com/CZ515357130.htm,广州海度网络科技有限公司,4001-6000
JAVA中级程序员照片（一般程序员）,http://special.zhaopin.com/bj/2013/zkrk062859,中科软科技股份有限公司,12000-20000
高级程序员,http://company.zhaopin.com/CZ163809710.htm,上海桑时信息技术有限公司,10001-15000
php程序员+双休,http://company.zhaopin.com/CZ721567280.htm,上海择彦网络科技有限公司,3000-5000
IT程序员（日语方向）,http://company.zhaopin.com/CZ144579220.htm,沈阳新干线外国语培训学校,10001-15000
诚招Java程序员,http://company.zhaopin.com/CC538327932.htm,上海择彦网络科技有限公司,4001-6000
零基础PHP程序员包吃住,http://company.zhaopin.com/CC584399385.htm,成都期汇乐信息技术有限公司,6001-8000
Web前端开发程序员双休,http://company.zhaopin.com/CC533503832.htm,上海曳惬网络科技有限公司,4001-6000
php程序员,http://company.zhaopin.com/CC538327932.htm,上海择彦网络科技有限公司,3000-5000
php程序员,http://company.zhaopin.com/CC618654037.htm,上海芒橙网络科技有限公司,6000-8000
Java程序员+带薪实习,http://company.zhaopin.com/CC538327932.htm,上海择彦网络科技有限公司,4001-6000
JAVA程序员实习生双休,http://company.zhaopin.com/CC618654037.htm,上海芒橙网络科技有限公司,4001-6000
Java程序员助理+补贴,http://company.zhaopin.com/CC533503832.htm,上海曳惬网络科技有限公司,4001-6000
无经验JAVA程序员双休,http://company.zhaopin.com/CC538327932.htm,上海择彦网络科技有限公司,4001-6000
php程序员,http://company.zhaopin.com/CZ444406080.htm,广州百单网互联网科技有限公司,4001-6000
实习Java程序员助理,http://company.zhaopin.com/CC622940439.htm,广州司瓦图网络开发有限公司,5000-8000
PHP程序员/CMS二次开发,http://company.zhaopin.com/CC669108726.htm,上海热元文化传播有限公司,6001-8000
WEB前端程序员双休,http://company.zhaopin.com/CC622940439.htm,广州司瓦图网络开发有限公司,4800-8000
转行Unity3D程序员,http://company.zhaopin.com/CZ271215810.htm,汇众益智(上海)教育软件有限公司,6001-8000
3k+程序员,http://company.zhaopin.com/CC622940439.htm,广州司瓦图网络开发有限公司,4001-6000
初级游戏逻辑程序员,http://company.zhaopin.com/CC618654037.htm,上海芒橙网络科技有限公司,6001-8000
php开发工程师/php程序员（PHP技术主管）,http://company.zhaopin.com/CC655767220.htm,郑州三生石科技有限公司,30000-50000
C语言开发程序员+补食宿,http://company.zhaopin.com/CC622940439.htm,广州司瓦图网络开发有限公司,5000-8000
Java初级程序员实习助理生五险一金,http://company.zhaopin.com/CC649818985.htm,璐洲(上海)计算机信息技术工程有限公司,4001-6000
高级安卓程序员,http://company.zhaopin.com/CC300646839.htm,上海商泰汽车信息系统有限公司,10001-15000
C++高级程序员,http://company.zhaopin.com/CZ271215810.htm,汇众益智(上海)教育软件有限公司,15000-20000
Java程序员,http://special.zhaopin.com/pagepublish/30524861/index.html,上海绿岸网络科技股份有限公司,8000-13000
C+语言工程师/程序员+五险,http://company.zhaopin.com/CC584399385.htm,成都期汇乐信息技术有限公司,3500-6000
SAS程序员初级,http://company.zhaopin.com/CC482814682.htm,上海韧致医药科技有限公司,4001-6000
微信小程序开发程序员,http://company.zhaopin.com/CC622940439.htm,广州司瓦图网络开发有限公司,4001-6000
java初级程序员+晋升空间+餐补,http://company.zhaopin.com/CC422282532.htm,上海众软信息科技有限公司,4000-6500
手游服务器高级程序员(JAVA),http://ztgame.zhaopin.com,上海巨人网络科技有限公司,8000-15000
Java中高级程序员,http://special.zhaopin.com/pagepublish/38164071/index.html,北明软件有限公司北京分公司,10000-20000
Java初级程序员（研发中心）,http://company.zhaopin.com/CZ171774410.htm,江苏润和软件股份有限公司,8000-10000
SAS程序员,http://company.zhaopin.com/CC482814682.htm,上海韧致医药科技有限公司,6001-8000
底薪6K程序员转设计/双休+五险,http://company.zhaopin.com/CC487162283.htm,上海鸣助信息科技有限公司,6001-8000
php程序员,http://company.zhaopin.com/CC461603386.htm,上海丞丝文化传媒有限公司,4001-6000
后端开发程序员,http://company.zhaopin.com/P8/CC0006/0227/CC000602275.htm,上海互联网软件集团有限公司,15001-20000
Unity程序员/U3D程序【坐标郑州】,http://company.zhaopin.com/CC319483532.htm,河南奇酷信息技术有限公司,10001-15000
游戏客户端C++程序员,http://company.zhaopin.com/CC461603386.htm,上海丞丝文化传媒有限公司,4001-6000
Python程序员(游戏开发),http://company.zhaopin.com/CC461603386.htm,上海丞丝文化传媒有限公司,6001-8000
（有意转设计）程序员,http://company.zhaopin.com/CC461603386.htm,上海丞丝文化传媒有限公司,6001-8000
.NET程序员【坐标郑州】,http://company.zhaopin.com/CC319483532.htm,河南奇酷信息技术有限公司,8001-10000
php开发工程师_php程序员,http://company.zhaopin.com/CZ672164080.htm,上海泉聂智能科技有限公司,8001-10000
开发工程师/程序员/研发工程师/后端开发,http://company.zhaopin.com/CZ692700880.htm,上海善诺信息科技有限公司,16000-20500
php程序员,http://company.zhaopin.com/CZ466357180.htm,上海登凯贸易有限公司,7000-14000
前端开发/java架构师/技术总监/程序员,http://company.zhaopin.com/CZ896567030.htm,上海踔善网络科技有限公司,15500-21000
软件研发/JavaScript/程序员/开发顾问,http://company.zhaopin.com/CZ694692330.htm,上海法合网络科技有限公司,15500-20500
服务器程序员（需短期出差）,http://company.zhaopin.com/CC595890325.htm,上海交叉点信息科技有限公司,10000-20000
游戏客户端程序员,http://company.zhaopin.com/CC595890325.htm,上海交叉点信息科技有限公司,10000-20000
软件研发/JavaScript/程序员/开发顾问,http://company.zhaopin.com/CZ692700880.htm,上海善诺信息科技有限公司,15500-20500
前端开发/java架构师/技术总监/程序员,http://company.zhaopin.com/CZ896537830.htm,上海豪门网络科技有限公司,15500-21000
前端开发/java架构师/技术总监/程序员,http://company.zhaopin.com/CC347910132.htm,上海创节环境科技有限公司,15500-21000
美工UI设计师或php程序员（海外菲律宾）,http://company.zhaopin.com/CZ606236730.htm,珠海乐飞腾科技有限公司,10001-15000
网站程序员,http://company.zhaopin.com/CZ395838510.htm,上海美联臣医疗美容医院有限公司,8001-10000
软件研发/JavaScript/程序员/开发顾问,http://company.zhaopin.com/CZ896530630.htm,上海尚章网络科技有限公司,15500-20500
web工程师/PHP开发/软件工程师/程序员,http://company.zhaopin.com/CZ896530630.htm,上海尚章网络科技有限公司,10500-15500
开发工程师/程序员/研发工程师/后端开发,http://company.zhaopin.com/CZ896530630.htm,上海尚章网络科技有限公司,16000-20500
php程序员,http://company.zhaopin.com/CC309572286.htm,上海锐私信息科技有限公司,15000-22000
H5手游前端中级程序员,http://company.zhaopin.com/CC374128982.htm,空麟(上海)网络科技有限公司,8000-15000
PHP中级程序员,http://company.zhaopin.com/CZ720102480.htm,上海孚星网络科技有限公司,9000-15000
软件研发/JavaScript/程序员/开发顾问,http://company.zhaopin.com/CC347910132.htm,上海创节环境科技有限公司,15500-20500
手游客户端程序员,http://special.zhaopin.com/sh/2008/yubi081517/jo.htm,Ubisoft Shanghai Studio,20001-30000
前端开发/java架构师/技术总监/程序员,http://company.zhaopin.com/CZ896530630.htm,上海尚章网络科技有限公司,15500-21000
上海Java程序员,http://company.zhaopin.com/CC273972632.htm,中讯志远(武汉)科技有限公司,6001-8000
cocos creator客户端程序员,http://special.zhaopin.com/pagepublish/41578631/index.html,厦门梦加网络科技股份有限公司,6000-12000
php程序员,http://company.zhaopin.com/CZ312219380.htm,上海品至实业有限公司,6000-8000
开发工程师/程序员/研发工程师/后端开发,http://company.zhaopin.com/CC347910132.htm,上海创节环境科技有限公司,16000-20500
H5程序员-实习生,http://company.zhaopin.com/CC374128982.htm,空麟(上海)网络科技有限公司,4001-6000
客户端程序员,http://company.zhaopin.com/CZ583788730.htm,上海野幕软件开发有限公司,10000-18000
php程序员,http://company.zhaopin.com/CZ804805170.htm,秦皇岛洪软信息技术有限公司,30001-50000
PHP高级工程师/网站开发程序员,http://company.zhaopin.com/CC343904339.htm,朴言计算机(上海)有限公司,10001-15000
上海net程序员,http://company.zhaopin.com/CC273972632.htm,中讯志远(武汉)科技有限公司,10001-15000
程序员php,http://company.zhaopin.com/CZ791521850.htm,上海达购电子科技有限公司,10001-15000
JAVA程序员,http://company.zhaopin.com/CZ428283980.htm,吉林创惠科技有限公司,4001-6000
高级程序员（ASP.NET）,http://company.zhaopin.com/CZ526714120.htm,上海万欣计算机信息科技有限公司,9000-18000
php程序员,http://company.zhaopin.com/P2/CC3602/0191/CC360201915.htm,上海班印广告有限公司,6001-8000
程序员,http://company.zhaopin.com/CZ673430130.htm,上海美朋化妆品有限公司,4001-6000
程序员打代码 可实习,http://company.zhaopin.com/CZ285005980.htm,上海煜麦网络科技有限公司,4001-6000
.NET高级程序员,http://special.zhaopin.com/pagepublish/23464992/index.html,上海同是科技股份有限公司,15001-20000
php开发程序员,http://company.zhaopin.com/CZ531555020.htm,上海墨智网络科技有限公司,7000-14000
网站程序员,http://company.zhaopin.com/CZ466274480.htm,上海科医联创医学检验所有限公司,4000-6000
C++程序员,http://company.zhaopin.com/CZ141162210.htm,凤瑞奇软件科技（上海）有限公司,8001-10000
